"pdes","name","H","a","e","i","om","w","ma"
31221,,17.23,1.723,0.2570,20.22,331.01,186.79,99.23
31345,,17.62,2.015,0.3914,6.50,222.68,156.19,168.69
31346,,17.16,2.032,0.4295,5.97,299.68,350.65,164.43
31662,,19.54,1.598,0.5479,18.82,13.94,312.02,354.16
31669,,16.09,2.137,0.5778,9.54,78.76,39.11,223.53
32906,,16.04,2.247,0.4404,18.94,331.14,92.37,59.71
33342,,18.02,0.7187,0.4177,7.37,81.66,167.52,314.57
34613,,16.09,2.071,0.3858,6.18,315.13,286.42,272.48
35107,,16.87,1.137,0.1437,13.92,139.31,207.03,65.64
35396,,17.01,1.442,0.4838,4.10,213.63,103.07,139.72
35432,,19.39,2.501,0.5457,13.15,115.32,1.60,359.13
35670,,19.57,2.122,0.5964,7.14,271.33,169.87,257.89
36017,,19.29,1.523,0.3142,5.55,332.06,52.14,320.33
36183,,16.30,1.551,0.3323,38.22,54.64,311.21,212.53
36236,,15.95,1.332,0.4239,58.04,241.07,19.80,96.82
36284,,15.04,1.484,0.5539,46.78,323.14,317.98,346.39
37336,,15.78,2.254,0.4831,36.67,223.63,118.05,66.06
37638,,19.28,1.913,0.5200,5.08,145.56,323.22,25.57
37655,Illapa,17.85,1.478,0.7524,18.03,139.51,303.92,114.45
38071,,19.57,2.09,0.5070,12.73,195.47,8.79,292.66
38086,Beowulf,17.35,1.42,0.5662,23.67,165.31,178.96,189.78
38091,,16.30,2.17,0.4011,9.33,64.82,225.02,69.97
38239,,18.33,2.036,0.5757,9.40,199.75,28.57,44.78
39557,Gielgud,17.03,2.264,0.4262,5.55,58.46,240.00,268.05
39565,,18.46,1.642,0.3342,8.60,0.94,344.77,283.43
39572,,16.56,2.036,0.4928,10.03,313.50,344.84,341.52
39796,,15.68,2.251,0.4683,12.93,158.86,171.09,126.83
40263,,17.76,1.495,0.1610,25.84,172.80,198.72,7.53
40267,,15.54,1.339,0.8084,34.48,148.20,211.95,291.00
40329,,17.71,2.265,0.4550,2.52,210.90,112.00,255.87
41429,,20.66,1.593,0.5556,2.17,351.79,297.37,238.87
41440,,19.88,1.576,0.2114,15.11,64.03,200.15,304.44
42286,,16.63,1.419,0.3915,24.08,55.82,150.95,341.80
48603,,17.82,1.918,0.4297,5.02,328.21,81.84,251.28
52340,,18.09,2.211,0.5479,8.08,5.23,116.37,338.82
52381,,20.06,1.278,0.1441,7.73,183.24,263.89,312.06
52387,Huitzilopochtli,17.75,1.282,0.1897,24.15,297.56,195.56,255.97
52689,,19.13,1.562,0.2926,10.98,4.64,265.22,5.33
52750,,16.67,1.427,0.5249,11.17,141.31,334.16,98.23
52760,,17.52,2.409,0.6236,2.43,338.65,20.36,92.55
52761,,17.96,1.555,0.2243,19.49,258.97,350.52,64.77
52762,,14.81,2.416,0.6532,33.87,308.95,254.51,134.20
52768,,16.02,2.379,0.5757,5.88,26.93,174.57,188.66
53110,,16.72,1.644,0.2146,40.63,85.41,58.23,222.42
53319,,15.35,2.724,0.6415,13.84,133.63,166.79,316.53
53409,,18.73,2.101,0.6281,10.88,206.69,147.75,214.18
53426,,17.19,1.922,0.5397,22.77,239.04,43.42,315.76
53429,,18.90,2.022,0.6411,26.78,199.16,64.09,58.72
53430,,16.66,2.099,0.4032,60.41,241.92,156.97,219.87
53435,Leonard,14.73,2.311,0.4831,15.35,51.35,354.49,161.59
53550,,19.06,1.495,0.4197,7.18,313.11,325.05,282.74
53789,,17.35,1.371,0.2692,40.78,190.02,218.36,122.59
54071,,17.43,1.329,0.1974,23.44,36.33,128.29,290.17
54401,,17.23,1.711,0.2623,18.95,240.84,67.09,113.22
54509,YORP,22.66,1.006,0.2300,1.60,278.19,279.00,130.16
54660,,17.92,1.477,0.2806,46.69,223.71,158.04,347.01
54686,,16.61,1.777,0.3418,33.21,161.68,265.93,213.83
54690,,17.50,1.63,0.2565,35.36,33.51,99.58,344.61
54789,,15.08,1.776,0.2874,24.47,130.05,20.05,231.99
55408,,18.87,1.1,0.2246,30.39,193.82,353.55,188.25
55532,,16.13,1.795,0.6952,38.54,81.41,132.37,298.34
65674,,18.27,1.665,0.3439,10.95,0.85,313.32,128.20
65679,,19.61,0.9148,0.2645,1.30,178.05,15.00,286.53
65690,,19.06,1.428,0.3633,11.14,180.08,63.41,83.37
65706,,16.57,2.398,0.5552,9.63,349.17,8.74,343.28
65717,,20.87,1.395,0.2810,2.81,174.75,290.98,343.77
65733,,18.37,1.154,0.4744,4.14,336.86,168.74,193.85
65803,Didymos,18.11,1.643,0.3832,3.41,72.98,319.59,167.22
65909,,19.30,1.091,0.5397,3.56,108.59,284.51,182.86
65996,,18.49,2.931,0.6061,9.56,265.22,57.08,162.29
66008,,15.93,1.426,0.3627,61.01,168.92,14.00,141.74
66063,,18.15,0.991,0.7200,22.69,351.84,151.17,106.32
66146,,14.36,0.7875,0.4837,5.42,101.88,84.99,74.77
66251,,16.99,1.536,0.1981,11.28,196.17,142.55,232.35
66253,,18.40,1.334,0.8378,19.50,157.32,261.15,139.26
66272,,17.22,1.508,0.1433,51.31,66.38,68.43,196.33
66391,Moshup,16.64,0.6424,0.6884,38.88,244.90,192.65,342.60
66400,,19.27,0.8554,0.5725,9.06,79.79,341.42,25.62
66407,,18.84,1.199,0.1201,21.77,94.98,320.58,268.04
66959,,16.94,2.538,0.5654,20.62,81.89,293.48,169.65
67367,,17.08,1.309,0.2126,9.02,264.51,184.84,152.34
67381,,19.80,1.321,0.5429,10.67,294.83,266.94,297.85
67399,,18.41,1.301,0.3461,14.69,332.84,225.34,111.88
68031,,18.13,1.376,0.1285,15.17,123.62,31.92,99.97
68063,,15.56,2.334,0.4577,5.72,308.81,50.42,58.75
68216,,16.57,1.32,0.3267,17.99,18.13,48.76,201.77
68267,,16.99,1.51,0.4273,38.82,8.00,317.42,15.80
68278,,18.47,1.436,0.1143,2.62,99.04,234.53,337.19
68346,,16.92,1.507,0.4165,16.70,219.37,140.28,346.82
68347,,19.92,0.9617,0.3799,17.13,245.85,243.82,50.46
68348,,14.27,2.155,0.8409,25.36,236.23,181.67,177.38
68350,,16.14,1.67,0.2475,29.57,128.83,328.58,311.25
68359,,18.07,1.517,0.1742,9.86,99.19,29.24,183.79
68372,,18.95,1.618,0.4156,8.11,252.96,322.34,349.45
68548,,16.56,1.707,0.4367,22.71,302.02,24.70,3.28
68950,,16.39,1.057,0.3443,25.15,236.20,255.57,57.35
69230,Hermes,17.68,1.655,0.6239,6.07,34.05,92.91,104.56
85182,,17.13,2.22,0.7776,3.12,339.38,243.25,178.50
85184,,18.41,1.374,0.1845,33.88,226.38,322.77,185.25
85236,,18.75,1.234,0.3111,12.81,54.36,293.83,180.29
85275,,16.49,1.891,0.4419,17.71,141.13,202.86,359.57
85490,,14.80,3.765,0.6599,2.58,247.54,94.21,329.71
85585,Mjolnir,21.64,1.298,0.3563,4.08,2.30,95.45,304.23
85628,,17.28,1.592,0.3316,13.03,66.73,50.60,338.19
85640,,21.14,1.58,0.4857,4.52,299.56,117.32,213.71
85709,,15.92,1.646,0.3376,24.83,186.55,29.83,88.68
85713,,15.77,1.923,0.6388,10.79,40.95,103.13,27.39
